model,metric,mean,std,ci_low,ci_high,n_seeds,ci_level,method
Ensemble,auc,0.9982503651196938,0.00022270095130845157,0.9980851254958486,0.9984375582281839,5,0.95,bootstrap
Ensemble,ap,0.9978802351596782,0.00038223325434009054,0.9975861879166542,0.9981676394832293,5,0.95,bootstrap
Ensemble,f1,0.9843656668084465,0.0012628616881469323,0.9834037005784932,0.9853283964063033,5,0.95,bootstrap
Ensemble,precision,0.9823606634031299,0.0026765592813499644,0.9800392889841106,0.9842884193335358,5,0.95,bootstrap
Ensemble,recall,0.9863860534464962,0.0021902879001890075,0.984229842871889,0.9877050120426654,5,0.95,bootstrap
Ensemble,mrr,0.9392358376565957,0.004683559677239926,0.935300116942631,0.9426736434064781,5,0.95,bootstrap
Ensemble,hits1,0.8937607523798601,0.008111027258043411,0.8868218832434911,0.899151278816378,5,0.95,bootstrap
Ensemble,hits5,0.992751462323661,0.0003208303872163926,0.9924188553733228,0.9929464388117903,5,0.95,bootstrap
Ensemble,hits10,0.9971212294987957,0.00017860318273193372,0.9970065374469549,0.997293267576557,5,0.95,bootstrap
Ensemble,ari,0.038261138560425886,0.009712951273473802,0.030940959604741962,0.0463056443424984,5,0.95,bootstrap
Ensemble[gate],auc,0.9982503651196938,0.00022270095130845157,0.9980851254958486,0.9984375582281839,5,0.95,bootstrap
Ensemble[gate],ap,0.9978802351596782,0.00038223325434009054,0.9975861879166542,0.9981676394832293,5,0.95,bootstrap
Ensemble[gate],f1,0.9843656668084465,0.0012628616881469323,0.9834037005784932,0.9853283964063033,5,0.95,bootstrap
Ensemble[gate],precision,0.9823606634031299,0.0026765592813499644,0.9800392889841106,0.9842884193335358,5,0.95,bootstrap
Ensemble[gate],recall,0.9863860534464962,0.0021902879001890075,0.984229842871889,0.9877050120426654,5,0.95,bootstrap
Ensemble[gate],mrr,0.9392358376565957,0.004683559677239926,0.935300116942631,0.9426736434064781,5,0.95,bootstrap
Ensemble[gate],hits1,0.8937607523798601,0.008111027258043411,0.8868218832434911,0.899151278816378,5,0.95,bootstrap
Ensemble[gate],hits5,0.992751462323661,0.0003208303872163926,0.9924188553733228,0.9929464388117903,5,0.95,bootstrap
Ensemble[gate],hits10,0.9971212294987957,0.00017860318273193372,0.9970065374469549,0.997293267576557,5,0.95,bootstrap
Ensemble[concat],auc,0.9982692980558351,0.0,0.9982692980558351,0.9982692980558351,1,0.95,bootstrap
Ensemble[concat],ap,0.9980828902628404,0.0,0.9980828902628404,0.9980828902628404,1,0.95,bootstrap
Ensemble[concat],f1,0.9836574087371112,0.0,0.9836574087371112,0.9836574087371112,1,0.95,bootstrap
Ensemble[concat],precision,0.9853271189366477,0.0,0.9853271189366477,0.9853271189366477,1,0.95,bootstrap
Ensemble[concat],recall,0.9819933478609932,0.0,0.9819933478609932,0.9819933478609932,1,0.95,bootstrap
Ensemble[concat],mrr,0.9413717699647949,0.0,0.9413717699647949,0.9413717699647949,1,0.95,bootstrap
Ensemble[concat],hits1,0.8962610391099897,0.0,0.8962610391099897,0.8962610391099897,1,0.95,bootstrap
Ensemble[concat],hits5,0.9940933593301984,0.0,0.9940933593301984,0.9940933593301984,1,0.95,bootstrap
Ensemble[concat],hits10,0.9979355430668655,0.0,0.9979355430668655,0.9979355430668655,1,0.95,bootstrap
Ensemble[weighted],auc,0.9981061621281005,0.0,0.9981061621281005,0.9981061621281005,1,0.95,bootstrap
Ensemble[weighted],ap,0.9978757350021242,0.0,0.9978757350021242,0.9978757350021242,1,0.95,bootstrap
Ensemble[weighted],f1,0.9830837810035432,0.0,0.9830837810035432,0.9830837810035432,1,0.95,bootstrap
Ensemble[weighted],precision,0.9797243421802028,0.0,0.9797243421802028,0.9797243421802028,1,0.95,bootstrap
Ensemble[weighted],recall,0.9864663378827847,0.0,0.9864663378827847,0.9864663378827847,1,0.95,bootstrap
Ensemble[weighted],mrr,0.9297660838063173,0.0,0.9297660838063173,0.9297660838063173,1,0.95,bootstrap
Ensemble[weighted],hits1,0.876706044271132,0.0,0.876706044271132,0.876706044271132,1,0.95,bootstrap
Ensemble[weighted],hits5,0.9930611308636311,0.0,0.9930611308636311,0.9930611308636311,1,0.95,bootstrap
Ensemble[weighted],hits10,0.9976488129372635,0.0,0.9976488129372635,0.9976488129372635,1,0.95,bootstrap
Ensemble[sum],auc,0.9967861758548409,0.0,0.9967861758548409,0.9967861758548409,1,0.95,bootstrap
Ensemble[sum],ap,0.9945160347080017,0.0,0.9945160347080017,0.9945160347080017,1,0.95,bootstrap
Ensemble[sum],f1,0.983382264914631,0.0,0.983382264914631,0.983382264914631,1,0.95,bootstrap
Ensemble[sum],precision,0.9776140549730802,0.0,0.9776140549730802,0.9776140549730802,1,0.95,bootstrap
Ensemble[sum],recall,0.9892189471269641,0.0,0.9892189471269641,0.9892189471269641,1,0.95,bootstrap
Ensemble[sum],mrr,0.9415538680375262,0.0,0.9415538680375262,0.9415538680375262,1,0.95,bootstrap
Ensemble[sum],hits1,0.8960890010322284,0.0,0.8960890010322284,0.8960890010322284,1,0.95,bootstrap
Ensemble[sum],hits5,0.9946668195894025,0.0,0.9946668195894025,0.9946668195894025,1,0.95,bootstrap
Ensemble[sum],hits10,0.9985090033260695,0.0,0.9985090033260695,0.9985090033260695,1,0.95,bootstrap
Ensemble[gnn_only],auc,0.9233994391362665,0.0,0.9233994391362665,0.9233994391362665,1,0.95,bootstrap
Ensemble[gnn_only],ap,0.9256629284114448,0.0,0.9256629284114448,0.9256629284114448,1,0.95,bootstrap
Ensemble[gnn_only],f1,0.845429956046433,0.0,0.845429956046433,0.845429956046433,1,0.95,bootstrap
Ensemble[gnn_only],precision,0.8310069790628115,0.0,0.8310069790628115,0.8310069790628115,1,0.95,bootstrap
Ensemble[gnn_only],recall,0.8603624268838169,0.0,0.8603624268838169,0.8603624268838169,1,0.95,bootstrap
Ensemble[gnn_only],mrr,0.47348863347905507,0.0,0.47348863347905507,0.47348863347905507,1,0.95,bootstrap
Ensemble[gnn_only],hits1,0.38559467828879457,0.0,0.38559467828879457,0.38559467828879457,1,0.95,bootstrap
Ensemble[gnn_only],hits5,0.5638261268494094,0.0,0.5638261268494094,0.5638261268494094,1,0.95,bootstrap
Ensemble[gnn_only],hits10,0.6393508429865811,0.0,0.6393508429865811,0.6393508429865811,1,0.95,bootstrap
Ensemble[aux_only],auc,0.9960808588699634,0.0,0.9960808588699634,0.9960808588699634,1,0.95,bootstrap
Ensemble[aux_only],ap,0.9932528061101717,0.0,0.9932528061101717,0.9932528061101717,1,0.95,bootstrap
Ensemble[aux_only],f1,0.982336801188979,0.0,0.982336801188979,0.982336801188979,1,0.95,bootstrap
Ensemble[aux_only],precision,0.9792022792022792,0.0,0.9792022792022792,0.9792022792022792,1,0.95,bootstrap
Ensemble[aux_only],recall,0.9854914554421379,0.0,0.9854914554421379,0.9854914554421379,1,0.95,bootstrap
Ensemble[aux_only],mrr,0.9400965959410574,0.0,0.9400965959410574,0.9400965959410574,1,0.95,bootstrap
Ensemble[aux_only],hits1,0.8937378139694919,0.0,0.8937378139694919,0.8937378139694919,1,0.95,bootstrap
Ensemble[aux_only],hits5,0.9938066292005964,0.0,0.9938066292005964,0.9938066292005964,1,0.95,bootstrap
Ensemble[aux_only],hits10,0.9973620828076615,0.0,0.9973620828076615,0.9973620828076615,1,0.95,bootstrap
GAT,auc,0.8772293088349672,0.008349467156810427,0.8692321486833086,0.8827905355603173,5,0.95,bootstrap
GAT,ap,0.8862456377214409,0.009422573602239286,0.8761865980597427,0.8919123442503555,5,0.95,bootstrap
GAT,f1,0.7955206607713863,0.004832998632034879,0.7915907954081465,0.7989448396046124,5,0.95,bootstrap
GAT,precision,0.7690998798230421,0.007700668927314943,0.7633162232368481,0.7751021110100556,5,0.95,bootstrap
GAT,recall,0.8238788851932561,0.006229689655883156,0.820174331918798,0.8299116871200827,5,0.95,bootstrap
GAT,mrr,0.32194871496116084,0.018234136080090578,0.3043360055360975,0.333108718810199,5,0.95,bootstrap
GAT,hits1,0.21567840348663836,0.02000254538595644,0.1966165844706962,0.2295790801697442,5,0.95,bootstrap
GAT,hits5,0.43415529303819245,0.019819810330780927,0.41109830428410227,0.4447299002179149,5,0.95,bootstrap
GAT,hits10,0.5322972817983713,0.015469477134405975,0.512937263447643,0.5404909887672781,5,0.95,bootstrap
GAT,ari,0.04105096113147052,0.01965701902971584,0.02709934412825214,0.05806800391766068,5,0.95,bootstrap
GCN,auc,0.9148862775491617,0.007699917265093578,0.9084336225355385,0.9205517163220286,5,0.95,bootstrap
GCN,ap,0.9171866084162005,0.009978861893345885,0.9093577274554061,0.9250154893769947,5,0.95,bootstrap
GCN,f1,0.8375251288963923,0.007831089561507958,0.8306886481024675,0.8427489738112065,5,0.95,bootstrap
GCN,precision,0.8146825792157115,0.012273253531693609,0.8023476539343376,0.8216682232644796,5,0.95,bootstrap
GCN,recall,0.8618304851473793,0.01052222225976895,0.855247161371717,0.8718660396834499,5,0.95,bootstrap
GCN,mrr,0.4271943237437562,0.04413774555984987,0.3694961817506656,0.45034876799569823,5,0.95,bootstrap
GCN,hits1,0.3273884619795848,0.05176770949271287,0.2602362656267921,0.3543640325725427,5,0.95,bootstrap
GCN,hits5,0.5327560500057346,0.034696345626096914,0.4872233054249341,0.5501663034751691,5,0.95,bootstrap
GCN,hits10,0.6146461750200711,0.02571908207786754,0.5815804564743663,0.6282945291891272,5,0.95,bootstrap
GCN,ari,0.1432970156154149,0.012057983463495512,0.13580243386467053,0.15505706793875598,5,0.95,bootstrap
GraphSAGE,auc,0.882105019693187,0.004216287305299109,0.8787168192993509,0.8851941940065714,5,0.95,bootstrap
GraphSAGE,ap,0.8933419687945058,0.006722810727981589,0.8891499631950189,0.8996259899259144,5,0.95,bootstrap
GraphSAGE,f1,0.8011050324666448,0.005323378526917858,0.797382169899136,0.8062079803173674,5,0.95,bootstrap
GraphSAGE,precision,0.8235198094841973,0.009850909733899849,0.8137372497267608,0.8296350871110342,5,0.95,bootstrap
GraphSAGE,recall,0.7799403601330427,0.00544932101156656,0.7739304966165845,0.7833237756623467,5,0.95,bootstrap
GraphSAGE,mrr,0.2973013311581513,0.028808539807432507,0.28263438015041453,0.3346396015877463,5,0.95,bootstrap
GraphSAGE,hits1,0.18923041633214818,0.02616117908848083,0.17627021447413696,0.22386741598807203,5,0.95,bootstrap
GraphSAGE,hits5,0.4102878770501204,0.04023637230248589,0.38831287991742175,0.45117559353136827,5,0.95,bootstrap
GraphSAGE,hits10,0.5214015368734948,0.030553632180114147,0.5042091983025576,0.5577703865122147,5,0.95,bootstrap
GraphSAGE,ari,0.22497958131722973,0.04083674148743213,0.19401712025466694,0.2547357745806022,5,0.95,bootstrap
RGCN,auc,0.8566149094721389,0.0031761389769305176,0.8540688432628469,0.8589414115667389,5,0.95,bootstrap
RGCN,ap,0.8629118491285512,0.004829307234927957,0.857191208038703,0.8654279075340205,5,0.95,bootstrap
RGCN,f1,0.7834955145289582,0.00346144684377562,0.7790863091621122,0.7853758799497104,5,0.95,bootstrap
RGCN,precision,0.762123999796261,0.009681274600317646,0.7530259854634824,0.7681577070938456,5,0.95,bootstrap
RGCN,recall,0.8063080628512443,0.011215041347923269,0.7995756394081891,0.8174102534694345,5,0.95,bootstrap
RGCN,mrr,0.17242415937945227,0.003819895664420305,0.16837809110608554,0.1747241898522482,5,0.95,bootstrap
RGCN,hits1,0.08358756738158046,0.0038882550892029573,0.07969950682417708,0.08604197729097375,5,0.95,bootstrap
RGCN,hits5,0.2504989104255075,0.004403226388403546,0.24656497304736785,0.25350384218373667,5,0.95,bootstrap
RGCN,hits10,0.3520128455098061,0.006912468175395136,0.3473563482050694,0.35830943915586644,5,0.95,bootstrap
RGCN,ari,0.20992005847958112,0.02841132925174646,0.19584014057476265,0.24725708876773536,5,0.95,bootstrap
baseline/FastText,auc,,,,,0,0.95,bootstrap
baseline/FastText,ap,,,,,0,0.95,bootstrap
baseline/FastText,f1,,,,,0,0.95,bootstrap
baseline/FastText,precision,,,,,0,0.95,bootstrap
baseline/FastText,recall,,,,,0,0.95,bootstrap
baseline/FastText,mrr,,,,,0,0.95,bootstrap
baseline/FastText,hits1,,,,,0,0.95,bootstrap
baseline/FastText,hits5,,,,,0,0.95,bootstrap
baseline/FastText,hits10,,,,,0,0.95,bootstrap
baseline/FastText,ari,0.08687155378241233,0.0,0.08687155378241233,0.08687155378241233,5,0.95,bootstrap
baseline/Node2Vec,auc,,,,,0,0.95,bootstrap
baseline/Node2Vec,ap,,,,,0,0.95,bootstrap
baseline/Node2Vec,f1,,,,,0,0.95,bootstrap
baseline/Node2Vec,precision,,,,,0,0.95,bootstrap
baseline/Node2Vec,recall,,,,,0,0.95,bootstrap
baseline/Node2Vec,mrr,,,,,0,0.95,bootstrap
baseline/Node2Vec,hits1,,,,,0,0.95,bootstrap
baseline/Node2Vec,hits5,,,,,0,0.95,bootstrap
baseline/Node2Vec,hits10,,,,,0,0.95,bootstrap
baseline/Node2Vec,ari,0.004363891111181332,0.0,0.004363891111181332,0.004363891111181332,5,0.95,bootstrap
baseline/XLM-R,auc,,,,,0,0.95,bootstrap
baseline/XLM-R,ap,,,,,0,0.95,bootstrap
baseline/XLM-R,f1,,,,,0,0.95,bootstrap
baseline/XLM-R,precision,,,,,0,0.95,bootstrap
baseline/XLM-R,recall,,,,,0,0.95,bootstrap
baseline/XLM-R,mrr,,,,,0,0.95,bootstrap
baseline/XLM-R,hits1,,,,,0,0.95,bootstrap
baseline/XLM-R,hits5,,,,,0,0.95,bootstrap
baseline/XLM-R,hits10,,,,,0,0.95,bootstrap
baseline/XLM-R,ari,0.02675619197110641,3.878959614448864e-18,0.02675619197110641,0.02675619197110641,5,0.95,bootstrap
